"clbid","credits","crsid","department","description","enrolled","firstyear","gereqs","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000164015","1.0","0000001327","SPAN","Students explore the diverse cultural histories and identities of Mexican-Americans, Cuban-Americans, and Puerto Ricans (among other Latinx groups) by considering how ethnicity, race, language, gender, and social class manifest themselves in U.S. histories of citizenry, immigration, economy, and education through generations of Latinxs. Class activities foster analysis of historical and autobiographical texts to reflect on how power and privilege intersect and shape students' own experiences. Attendance at cultural events required. This intermediate II-level Spanish course is offered every semester and during January Term. Does not count toward Spanish major. Prerequisite: SPAN 231 or placement.","0","","FOL-S;MCD;PAR;WLC","","León Narváez","","S","200","22","Latinx Experiences in United States","Prerequisites: completion of Spanish placement test or preceding course.","232","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 308', 'start': '09:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 308', 'start': '10:40'}","False","SPAN 231 or placement.","","2","","","O","20252","Latinx Experiences in the United States","Research","2025"
"0000164020","1.0","0000040042","BIO","Students gain meaningful research experience studying marine ecosystems. The course begins on campus as students develop field and analytical skills that they will apply to their research. Staying at the Discovery Bay Marine Lab in Jamaica provides access to unique coral reef and intertidal habitats where students conduct independent research projects. The course concludes on campus for data analysis and interpretation. Offered periodically during January term. Prerequisite: BIO 150 or permission of instructor.","0","","OEP","","Takashi Maie","","S","200","19","Marine Ecology Research in Jamaica","This is a study abroad course. You will find this course listed in Studio Abroad;under its course title.","289","","False","BIO 150 or permission of instructor.","","2","","","O","20252","","Research","2025"
"0000164021","1.0","0000027680","PSYCH","Psychopaths, blazing a path of disregard and devastation through life, are a chilling example of the darker side of humanity. Students critically compare psychopathy as portrayed in the popular media to psychology's theoretical and empirical understanding. They explore questions such as: What are the hallmark characteristics of a psychopath? Where can psychopaths be found? What causes psychopathy? Students also examine the question of what the existence of psychopathy means for the rest of us. Offered periodically during January Term. Prerequisite: PSYCH 125.","0","","","","Carlo O. Veltri","","S","200","30","Menacing Minds","","221","{'day': 'Mo', 'end': '12:40', 'location': 'RNS 290', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 290', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 290', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 290', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 290', 'start': '10:40'}","False","PSYCH 125.","","2","","","O","20252","","Research","2025"
"0000164027","1.0","0000032293","MUSIC","Students study how music can engage and advocate for those on the margins of society, inspiring social justice movements. Analyzing historical and current events, class members design a musical project that can empower a people, group or organization in addressing moral and social problems such as racial inequality, rural or urban violence, or prison reform. A Christian normative framework, along with religious and secular alternatives, help guide the ethics implications pertaining to this subject. Offered periodically during January Term.","0","","EIN;ERC","","Rehanna L. Kheshgi","","S","200","30","Music and Social Justice","This course includes an academic civic engagement (ACE) component.","245","{'day': 'Mo', 'end': '12:40', 'location': 'CHM 239', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'CHM 239', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'CHM 239', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'CHM 239', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'CHM 239', 'start': '10:40'}","False","False","","2","","","O","20252","","Research","2025"
"0000164028","1.0","0000001086","PHYS","This course offers an introduction to the physics of sound waves, the biological, physical and psychological origins of sound perception, and the synthesis of sounds and sound production in different instruments. Students explore these topics, as well as sound recording and reproduction systems, through lectures, discussions, laboratory experiments, and student presentations. Offered during January Term. Prerequisite: proficiency in algebra and geometry. Musical experience is helpful but not required.","0","0/0","IST;SED;NTS","0000001086","Brian Borovsky","","S","200","36","Musical Acoustics","Students in Physics 252 must also register for lab Physics 252 L.;First-year students must complete a capacity override request to register.","252","{'day': 'Mo', 'end': '12:10', 'location': 'RNS 210', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'RNS 210', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'RNS 210', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'RNS 210', 'start': '10:40'};{'day': 'Fr', 'end': '12:10', 'location': 'RNS 210', 'start': '10:40'}","False","proficiency in algebra and geometry. Musical experience is helpful but not required.","","2","","","O","20252","","Research","2025"
"0000164029","0.0","0000001087","PHYS","","0","0/0","","0000001086","Brian Borovsky","","S","200","36","Musical Acoustics Lab","","252","{'day': 'Mo', 'end': '15:30', 'location': 'RNS 292', 'start': '13:15'};{'day': 'Tu', 'end': '15:30', 'location': 'RNS 292', 'start': '13:15'};{'day': 'We', 'end': '15:30', 'location': 'RNS 292', 'start': '13:15'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 292', 'start': '13:15'}","False","False","","2","","","O","20252","","Lab","2025"
"0000164041","1.0","0000021801","MATH","This course introduces the study of patterns and relationships satisfied by natural numbers. Topics include divisibility, modular arithmetic, prime numbers, congruences, primitive roots, and quadratic residues. The course is offered in Budapest, Hungary, a world center for mathematics research. The course includes several hours of Hungarian language instruction and lectures by Hungarian mathematicians and scholars. Offered annually during January Term. Prerequisite: MATH 220 or permission of instructor.","0","","","","Adam H. Berliner","","S","200","20","Number Theory - Budapest","This is a study abroad course. You will find this course listed in Studio Abroad;under its course title.","239","","False","MATH 220 or permission of instructor.","","2","","","O","20252","","Research","2025"
"0000164042","1.0","0000000939","NURS","This course explores the sources, chemical composition, and metabolic behavior of nutrients. Nutritional requirements for a balanced diet are examined as well as the consequences of excesses and deficiencies. Students use nutrition tools and guidelines to make sound food choices, learn how to read food labels, and consider factors affecting food consumption. Class activities increase students' awareness of a healthy diet, help students evaluate nutrition behaviors, and facilitate a nutritionally sound lifestyle. Offered annually. Does not count toward major, but is a prerequisite for the nursing major.","0","","IST;NTS","","Steven Cole","","S","100","30","Nutrition and Wellness","","110","","False","False","A","2","","","O","20252","","Research","2025"
"0000164043","1.0","0000000939","NURS","This course explores the sources, chemical composition, and metabolic behavior of nutrients. Nutritional requirements for a balanced diet are examined as well as the consequences of excesses and deficiencies. Students use nutrition tools and guidelines to make sound food choices, learn how to read food labels, and consider factors affecting food consumption. Class activities increase students' awareness of a healthy diet, help students evaluate nutrition behaviors, and facilitate a nutritionally sound lifestyle. Offered annually. Does not count toward major, but is a prerequisite for the nursing major.","0","","IST;NTS","","Anna Graefe","","S","100","30","Nutrition and Wellness","","110","{'day': 'Mo', 'end': '12:40', 'location': 'TBA', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TBA', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TBA', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TBA', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TBA', 'start': '10:40'}","False","False","B","2","","","O","20252","","Research","2025"
"0000164049","1.0","0000000259","ECON","This course takes an analytical approach to economic reasoning and contemporary issues. The course introduces microeconomic and macroeconomic theories with applications to relevant topics, such as employment, growth, environmental protection, affirmative action, exchange rate fluctuations, taxes, and welfare reform. Students explore economics as an intelligent approach to understanding our daily lives as citizens, workers, managers and consumers. Offered each semester. This course does NOT count toward the economics major, but is the prerequisite for all higher-level economics courses.","0","","HBS;QCR;SCS","","Shawn A. Osell","","S","100","28","Principles of Econ","","121","{'day': 'Mo', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'TBA', 'start': '08:00'}","False","False","C","2","","","O","20252","Principles of Economics","Research","2025"
"0000164050","1.0","0000000259","ECON","This course takes an analytical approach to economic reasoning and contemporary issues. The course introduces microeconomic and macroeconomic theories with applications to relevant topics, such as employment, growth, environmental protection, affirmative action, exchange rate fluctuations, taxes, and welfare reform. Students explore economics as an intelligent approach to understanding our daily lives as citizens, workers, managers and consumers. Offered each semester. This course does NOT count toward the economics major, but is the prerequisite for all higher-level economics courses.","0","","HBS;QCR;SCS","","Urbashi Mookerjee","","S","100","28","Principles of Econ","","121","{'day': 'Mo', 'end': '12:40', 'location': 'HH 502', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'HH 502', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'HH 502', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'HH 502', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'HH 502', 'start': '10:40'}","False","False","A","2","","","O","20252","Principles of Economics","Research","2025"
"0000164051","1.0","0000000259","ECON","This course takes an analytical approach to economic reasoning and contemporary issues. The course introduces microeconomic and macroeconomic theories with applications to relevant topics, such as employment, growth, environmental protection, affirmative action, exchange rate fluctuations, taxes, and welfare reform. Students explore economics as an intelligent approach to understanding our daily lives as citizens, workers, managers and consumers. Offered each semester. This course does NOT count toward the economics major, but is the prerequisite for all higher-level economics courses.","0","","HBS;QCR;SCS","","Malabi Dass","","S","100","28","Principles of Econ","","121","{'day': 'Mo', 'end': '12:40', 'location': 'RML 525', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RML 525', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RML 525', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RML 525', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RML 525', 'start': '10:40'}","False","False","B","2","","","O","20252","Principles of Economics","Research","2025"
"0000164054","1.0","0000036274","MUSIC","How does a musician find work with little or no prior professional experience? What skills do musicians need to refine before and after graduation? This course invites students to engage in self-reflection, topical discussions, capacity-building, and best professional practices for individual musicians in the performance industry. Topics include the basics of the music business (roles in the industry, copyright law and contracts), artist identity development, and practical skills for a musical career. Offered alternate years in the fall.","0","","OEP","","Aileen M. Razey","","S","200","24","Professional Practices","","273","{'day': 'Mo', 'end': '15:00', 'location': 'CHM 224', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CHM 224', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CHM 224', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CHM 224', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CHM 224', 'start': '13:00'}","False","False","","2","","","O","20252","Professional Practices for the Individual Musician","Research","2025"
"0000164056","1.0","0000024283","PSCI","This class aims to better understand the racial climate in the United States, and the implications for American politics. Differing analytical perspectives from political science are used to interpret the role of race. A central question is the degree to which ""post-racial"" is an appropriate description of the current era. Also counts toward race and ethnic studies major and concentration.","0","","HBS;MCD;PAR","","Joshua Anderson","0/2","S","200","24","Race and Politics","This course has class-year limits.","244","{'day': 'Mo', 'end': '12:40', 'location': 'TOH 316', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 316', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 316', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 316', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 316', 'start': '10:40'}","False","False","","2","0/2","0/4","O","20252","Race and American Politics","Research","2025"
"0000164058","1.0","0000019399","ECON","This course provides a comprehensive research opportunity, including an introduction to relevant background material, technical instruction, identification of a meaningful project, and data collection. The topic is determined by the faculty member in charge of the course and may relate to their research interests. Offered based on department decision. May be offered as a 1.00 credit course or .50 credit course. Prerequisite: determined by individual instructor.","0","","","","Kulsoom Hisam","","S","300","16","Research Experience","This class is not a Level III economic analysis elective for the Econ major.;This class counts toward the quantitative research requirement for the;Quantitative Economics major.","396","{'day': 'Mo', 'end': '12:40', 'location': 'HH 429', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'HH 429', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'HH 429', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'HH 429', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'HH 429', 'start': '10:40'}","False","determined by individual instructor.","","2","","","O","20252","Directed Undergraduate Research","Research","2025"
"0000164062","1.0","0000000689","IM","Students who are pursuing an Individual Major, in consultation with their IMP advisor, may register for this fall semester course, which is graded P/N. This optional course is generally used for research and other preparation for the work planned for the spring semester. Whether students are enrolled in IM 391 or another approved level III course or experience, senior project plans must be submitted to IMP by the end of September. Prerequisite: permission of the IMP.","0","","","","Douglas J. Casson","","S","300","1","Senior Project I","","391","","True","permission of the IMP.","","2","","","O","20252","","Research","2025"
"0000164067","1.0","0000019738","PHIL","An exploration of problems about the nature of space and time that are of common interest to philosophers and scientists: Do space and time have boundaries? Are space and time independent of minds and bodies? How are space and time conceived in classical vs. relativistic physics? What is the geometry of space? Is time travel possible? What is God's relation to space and time? Offered during January Term.","0","0/0","IST","","Arthur Cunningham","","S","200","30","Space and Time","Not open to first-year students.","246","{'day': 'Mo', 'end': '15:30', 'location': 'RNS 210', 'start': '14:00'};{'day': 'We', 'end': '15:30', 'location': 'RNS 210', 'start': '14:00'};{'day': 'Fr', 'end': '15:30', 'location': 'RNS 210', 'start': '14:00'};{'day': 'Mo', 'end': '12:30', 'location': 'HH 434', 'start': '11:00'};{'day': 'Tu', 'end': '12:30', 'location': 'HH 434', 'start': '11:00'};{'day': 'We', 'end': '12:30', 'location': 'HH 434', 'start': '11:00'};{'day': 'Th', 'end': '12:30', 'location': 'HH 434', 'start': '11:00'};{'day': 'Fr', 'end': '12:30', 'location': 'HH 434', 'start': '11:00'}","False","False","","2","","","O","20252","","Research","2025"
"0000164071","1.0","0000001403","SDS","A first course in statistical methods, this course addresses study design and its implications as well as exploratory and inferential techniques for analyzing and modeling data. Topics include exploratory graphics, descriptive techniques, randomization tests, statistical designs, hypothesis testing, confidence intervals, and simple/multiple regression. Offered each semester. Enrollment limited for seniors. STAT 110, SDS 172, and ECON 260 all provide an introduction to statistics and students should not take more than one; they all can serve as a prerequisite for further courses. Also counts toward environmental studies major (natural science and social science emphases), kinesiology major, and business and management studies, mathematical biology, and public health studies concentrations.","0","","AQR;QCR","","Staff","0/5","S","100","30","Statistics 1","This course has class-year limits.","172","{'day': 'Mo', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Mo', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'TBA', 'start': '08:00'}","False","False","A","2","0/5","0/5","O","20252","","Research","2025"
"0000164072","1.0","0000001403","SDS","A first course in statistical methods, this course addresses study design and its implications as well as exploratory and inferential techniques for analyzing and modeling data. Topics include exploratory graphics, descriptive techniques, randomization tests, statistical designs, hypothesis testing, confidence intervals, and simple/multiple regression. Offered each semester. Enrollment limited for seniors. STAT 110, SDS 172, and ECON 260 all provide an introduction to statistics and students should not take more than one; they all can serve as a prerequisite for further courses. Also counts toward environmental studies major (natural science and social science emphases), kinesiology major, and business and management studies, mathematical biology, and public health studies concentrations.","0","","AQR;QCR","","Martha W. Zillig","0/5","S","100","30","Statistics 1","This course has class-year limits.","172","{'day': 'Mo', 'end': '15:00', 'location': 'RNS 160R', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'RNS 160R', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'RNS 160R', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'RNS 160R', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'RNS 160R', 'start': '13:00'};{'day': 'Mo', 'end': '12:40', 'location': 'RNS 160R', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 160R', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 160R', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 160R', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 160R', 'start': '10:40'}","False","False","B","2","0/5","0/5","O","20252","","Research","2025"
"0000164078","1.0","0000037626","KINES","Technology is constantly pushing the boundaries of what is possible in the healthcare world today. This course will critically analyze the relationship between science and technology on the healthcare industry, healthcare practitioners, and health and wellness while providing hands-on opportunities and field trips to put these principles into practice. We will explore the origins of many medical/wellness devices, their core strategies, what problems they solve, and what makes them controversial or exciting technologies.","0","0/11","OEP","","Jennifer M. Holbein","0/0","S","100","22","Technology, Health, and Wellness","This course has class-year limits and is open only to first-year and sophomore;students.","199","{'day': 'Mo', 'end': '12:40', 'location': 'SAC 112', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'SAC 112', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'SAC 112', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'SAC 112', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'SAC 112', 'start': '10:40'}","False","False","","2","0/0","0/11","O","20252","","Research","2025"
"0000164079","1.0","0000000104","BIO","Issues of women's biology including views of the evolving female and biological determinism are examined. Core material covers anatomy, development, the biological basis of gender, reproduction, sexual response, the menstrual cycle and aging, and aspects of women's health such as eating disorders, cancers, and hormonal treatments. Students participate in significant amounts of group work and oral presentation. The course is open to both men and women. Offered during January term.","0","0/6","IST;SED;NTS","0000000104","Beth Pettitt","0/6","S","100","24","The Biology of Women","This course has class-year limits.;Students in BIO 124 must also register for BIO 124 lab.","124","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 190', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 190', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 190', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 190', 'start': '09:00'};{'day': 'Mo', 'end': '12:00', 'location': 'RNS 190', 'start': '10:40'};{'day': 'Tu', 'end': '12:00', 'location': 'RNS 190', 'start': '10:40'};{'day': 'Th', 'end': '12:00', 'location': 'RNS 190', 'start': '10:40'};{'day': 'Fr', 'end': '12:00', 'location': 'RNS 190', 'start': '10:40'}","False","False","","2","0/6","0/6","O","20252","","Research","2025"
"0000164083","1.0","0000001326","SPAN","Through exploring the material and human diversity of the Spanish-speaking world and important connections among the United States, the Spanish-speaking countries of Latin America, and Spain, students develop increasingly complex skills for analyzing and communicating in Spanish. An examination of geography, environmental challenges and solutions, development, demographic changes, and ethnic diversity highlights the intersection of cultural, economic, and environmental realities. Required attendance at three conversation tables. This intermediate I-level Spanish course is offered each semester and during January Term. Does not count toward Spanish major. Prerequisite: SPAN 112 or placement into SPAN 231.","0","","","","Staff","","S","200","22","The U.S. and Spanish-Speaking World","Prerequisites: completion of Spanish placement test or preceding course.","231","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 310', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'TOH 310', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'TOH 310', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'TOH 310', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 310', 'start': '09:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TOH 310', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 310', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 310', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 310', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 310', 'start': '10:40'}","False","SPAN 112 or placement into SPAN 231.","","2","","","O","20252","Intercultural Connections in Global Wrld: U.S. & Spanish-Speaking Wrld","Research","2025"
"0000164084","1.0","0000000705","ID","A full immersion in the art of theater, students attend approximately 22 performances at London and Stratford theaters. The course includes the reading of play texts, dramatic criticism, group discussions, and backstage tours. England, a theatrical center of the English-speaking world, enables students to experience a wide variety of theatrical performances ranging from traditional to modern. Excursions to Stratford-upon-Avon and other locations offer additional cultural perspectives. Offered annually during January term. Apply through Smith Center for Global Engagement.","0","","ALS-A;CRE","","Jon T. Naito","","S","200","24","Theater in London","This is a study abroad course.;You will find this course listed in Studio Abroad under its course title.","258","","False","False","","2","","","O","20252","","Research","2025"
"0000164090","1.0","0000037432","PSYCH","This topics-based survey course examines the basic principles of psychological science within a given subdiscipline. Students use critical thinking skills to examine fascinating topics such as: language development, health psychology, spirituality, education, learning and memory, choice and decision-making, hormones and behavior, perception, sensation, neuroethics, cultural psychology, neuropsychology, and lifespan development. Students apply basic principles from introductory psychology and act as skeptical scientists. This course applies to many career choices in today's world and provides insight into self and others. May be repeated if topic is different. Offered periodically. Prerequisite: PSYCH 125.","0","","","","Kadie Ausherbauer","","S","200","26","Top: Prevention Sci Mental Health","Prerequisite: PSYCH 238 or NEURO 239 or permission of the instructor.","290","{'day': 'Mo', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TBA', 'start': '13:00'}","False","PSYCH 125.","","2","","","O","20252","Topics in Psychology","Topic","2025"
"0000164091","1.0","0000000857","MUSIC","Students encounter in-depth studies in a specific topic or area of musicology. The content and nature of this course are determined by the instructor and the music department. Sample topics include American music, South Asian music, Opera, and Music, Gender, and Sexuality. May be repeated if topic is different. Offered each semester. Prerequisite: MUSIC 141 or permission of instructor.","0","","WRI","","Staff","","S","300","18","Top: Advanced Topics in Musicology","","345","{'day': 'Mo', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TBA', 'start': '13:00'}","False","MUSIC 141 or permission of instructor.","","2","","","O","20252","Advanced Study in Musicology","Topic","2025"
"0000164094","1.0","0000001142","PSCI","The department periodically offers special topics courses. The specific title of the course is listed in the class and lab schedule when it is offered.","0","","","","Staff","","S","200","27","Top:","","299","{'day': 'Mo', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'}","False","False","","2","","","O","20252","Topics in Political Science","Topic","2025"
"0000164099","1.0","0000037177","NORST","Students explore an interdisciplinary topic in language, literature, history, or culture through close reading, discussion, analysis, and interpretation of selected works, including theoretical texts. Recent topics include: Peace and non-violence from a Nordic Perspective, The Immigrant Experience: From Nordic to Contemporary Immigration to Minnesota, Nordic-American heritage, Social Welfare in the Nordic context. Taught in English. May be repeated if topics are different. Offered periodically. Some topics may count toward Norwegian major.","0","","EIN;ERC","","Carl M. Graefe","","S","200","24","Top: Futures of Arctic Politics","","219","{'day': 'Mo', 'end': '12:40', 'location': 'HH 501', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'HH 501', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'HH 501', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'HH 501', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'HH 501', 'start': '10:40'}","False","False","","2","","","O","20252","Transdisciplinary Topics in Nordic Studies","Topic","2025"
"0000164104","1.0","0000000172","BIO","Specific topics announced prior to each term are based on student interests and available staff. Class work includes comprehensive review of literature on the specific topic. Class meetings present topics in discussion format. May be repeated if topic is different. Also counts toward environmental studies major (all emphases) and concentration when taught with environmental science focus and approved by chair. Prerequisites: vary.","0","0/0","WRI","","Sean M. Peterson","","S","300","10","Top: Winter Ecology","Open to Juniors and Seniors only.;Prerequisite: BIO 261","391","{'day': 'Tu', 'end': '15:10', 'location': 'RNS 440', 'start': '12:00'};{'day': 'We', 'end': '15:10', 'location': 'RNS 440', 'start': '12:00'};{'day': 'Th', 'end': '15:10', 'location': 'RNS 440', 'start': '12:00'}","False","Prerequisites: vary.","A","2","","0/0","O","20252","Selected Topics","Topic","2025"
"0000164106","1.0","0000000339","EDUC","This program provides an opportunity for students to gain direct teaching experience by serving as an intern for a teacher in a Minneapolis/St. Paul public school. The January Term will heighten students' sensitivities to the complexities of multicultural, urban education and provide exposure to models used to foster educational and personal success in diverse student populations. On/off-campus orientation will be followed by four weeks of full-time work in a classroom with a host teacher and participation in weekly seminars with the college instructor. Reading assignments, reflective journals, and guest speakers will complement the experience. Fulfills EDUC 382: Human Relations requirement. Intended for education major/licensure students. P/N only. Offered during January term. Apply through the Education Department by Oct.15. Prerequisites: EDUC 330.","0","0/0","MCD;OEP;PAR","","Nancy Veverka","","S","300","26","Urban Education Practicum & Seminar","Admission by application.;Open to Juniors and Seniors only.;Prerequisite: EDUC 330","379","","True","Prerequisites: EDUC 330.","","2","","0/0","O","20252","Urban Education Practicum and Seminar","Research","2025"
"0000164107","1.0","0000000308","EDUC","In this course, students examine how schools and communities in the Twin Cities interact to provide support and developmental opportunities for school-age children. Through lectures, readings, discussions, field trips, and in-school and co-curricular placements, students gain an understanding and awareness of how race, class, ethnicity, national origin, and gender shape the complex character of urban youth and schools. Students spend one week in orientation activities on campus and two weeks in the Twin Cities. During the time in the Twin Cities, St. Olaf students participate as tutors and classroom assistants during the school day and then assist in various after-school and community programs. The last week of January Term is spent back on campus discussing the experience. P/N only. Preference given to first-year students, but all students may apply. Offered during January Term.","0","","MCD;OEP","","Courtney A. Humm","","S","100","18","Urban Schools and Communities","This course is open to all students. (International students must be sophomores,;juniors, or seniors as CPT approval is required). Admission by application.;This course includes an academic civic engagement (ACE) component.","170","","True","False","","2","","","O","20252","","Research","2025"
